No,ItemCode,DocumentNumber,SourceFile
1,NA1420,NA1480,SOP/PROD/HOSE/24/10/044,Masterlist SPS CHS 2 Layer DIG.xlsx
2,NA1420,NA1480,VI-SOP-PROD-136,Masterlist SPS CHS 2 Layer DIG.xlsx
3,NA1440,NA1430,SOP/PROD/HOSE/24/10/041,Masterlist SPS CHS 2 Layer DIG.xlsx
4,NA1440,NA1430,VI-SOP-PROD-135,Masterlist SPS CHS 2 Layer DIG.xlsx
5,NA1440,NA1430,VI-SOP-PROD-135,Masterlist SPS CHS 2 Layer DIG.xlsx
6,NA1440,NA1430,VI-SOP-PROD-135,Masterlist SPS CHS 2 Layer DIG.xlsx
7,NA1440,NA1430,VI-SOP-PROD-135,Masterlist SPS CHS 2 Layer DIG.xlsx
8,NA1440,NA1430,VI-SOP-PROD-135,Masterlist SPS CHS 2 Layer DIG.xlsx
9,NA1450,NA1860,TA1790,TA300,TA3100,TA3050,TA3060,SOP/PROD/HOSE/24/10/042,Masterlist SPS CHS 2 Layer DIG.xlsx
10,NA1450,NA1860,TA1790,TA300,TA3100,TA3050,TA3060,VI-SOP-PROD-134,Masterlist SPS CHS 2 Layer DIG.xlsx
11,NA1450,NA1860,TA1790,TA300,TA3100,TA3050,TA3060,VI-SOP-PROD-134,Masterlist SPS CHS 2 Layer DIG.xlsx
12,NA1450,NA1860,TA1790,TA300,TA3100,TA3050,TA3060,VI-SOP-PROD-134,Masterlist SPS CHS 2 Layer DIG.xlsx
13,NA1450,NA1860,TA1790,TA300,TA3100,TA3050,TA3060,SOP/PROD/HOSE/24/10/055,Masterlist SPS CHS 2 Layer DIG.xlsx
14,NA1460,NA1470,NA1870,NA1880,NA1900,NA1910,NA1890,NA1920,NA2090,NA2100,NA2150,NA2190,NA2200,NA2210,NA2230,NA2240,NA2250,NA2320,NA2330,NA2400,NA2410,TA2770,NA2800,NA2830,NA2920,NA2930,NA2950,NA2960,NA2970,NA3070,NA3090,NA3120,NA3150,NA3280,NA3291,NA3292,NA3300,NA3301,NA3320,NA3370,TA1040,TA1050,TA2750,TA2770,TA2830,TA2840,TA2850,TA2860,TA2870,TA2880,SOP/PROD/HOSE/24/10/048,Masterlist SPS CHS 2 Layer DIG.xlsx
15,NA1460,NA1470,NA1870,NA1880,NA1900,NA1910,NA1890,NA1920,NA2090,NA2100,NA2150,NA2190,NA2200,NA2210,NA2230,NA2240,NA2250,NA2320,NA2330,NA2400,NA2410,TA2770,NA2800,NA2830,NA2920,NA2930,NA2950,NA2960,NA2970,NA3070,NA3090,NA3120,NA3150,NA3280,NA3291,NA3292,NA3300,NA3301,NA3320,NA3370,TA1040,TA1050,TA2750,TA2770,TA2830,TA2840,TA2850,TA2860,TA2870,TA2880,VI-SOP-PROD-137,Masterlist SPS CHS 2 Layer DIG.xlsx
16,NA1460,NA1470,NA1870,NA1880,NA1900,NA1910,NA1890,NA1920,NA2090,NA2100,NA2150,NA2190,NA2200,NA2210,NA2230,NA2240,NA2250,NA2320,NA2330,NA2400,NA2410,TA2770,NA2800,NA2830,NA2920,NA2930,NA2950,NA2960,NA2970,NA3070,NA3090,NA3120,NA3150,NA3280,NA3291,NA3292,NA3300,NA3301,NA3320,NA3370,TA1040,TA1050,TA2750,TA2770,TA2830,TA2840,TA2850,TA2860,TA2870,TA2880,VI-SOP-PROD-137,Masterlist SPS CHS 2 Layer DIG.xlsx
17,NA1460,NA1470,NA1870,NA1880,NA1900,NA1910,NA1890,NA1920,NA2090,NA2100,NA2150,NA2190,NA2200,NA2210,NA2230,NA2240,NA2250,NA2320,NA2330,NA2400,NA2410,TA2770,NA2800,NA2830,NA2920,NA2930,NA2950,NA2960,NA2970,NA3070,NA3090,NA3120,NA3150,NA3280,NA3291,NA3292,NA3300,NA3301,NA3320,NA3370,TA1040,TA1050,TA2750,TA2770,TA2830,TA2840,TA2850,TA2860,TA2870,TA2880,VI-SOP-PROD-137,Masterlist SPS CHS 2 Layer DIG.xlsx
18,NA1460,NA1470,NA1870,NA1880,NA1900,NA1910,NA1890,NA1920,NA2090,NA2100,NA2150,NA2190,NA2200,NA2210,NA2230,NA2240,NA2250,NA2320,NA2330,NA2400,NA2410,TA2770,NA2800,NA2830,NA2920,NA2930,NA2950,NA2960,NA2970,NA3070,NA3090,NA3120,NA3150,NA3280,NA3291,NA3292,NA3300,NA3301,NA3320,NA3370,TA1040,TA1050,TA2750,TA2770,TA2830,TA2840,TA2850,TA2860,TA2870,TA2880,VI-SOP-PROD-137,Masterlist SPS CHS 2 Layer DIG.xlsx
19,NA1460,NA1470,NA1870,NA1880,NA1900,NA1910,NA1890,NA1920,NA2090,NA2100,NA2150,NA2190,NA2200,NA2210,NA2230,NA2240,NA2250,NA2320,NA2330,NA2400,NA2410,TA2770,NA2800,NA2830,NA2920,NA2930,NA2950,NA2960,NA2970,NA3070,NA3090,NA3120,NA3150,NA3280,NA3291,NA3292,NA3300,NA3301,NA3320,NA3370,TA1040,TA1050,TA2750,TA2770,TA2830,TA2840,TA2850,TA2860,TA2870,TA2880,VI-SOP-PROD-137,Masterlist SPS CHS 2 Layer DIG.xlsx
20,NA1460,NA1470,NA1870,NA1880,NA1900,NA1910,NA1890,NA1920,NA2090,NA2100,NA2150,NA2190,NA2200,NA2210,NA2230,NA2240,NA2250,NA2320,NA2330,NA2400,NA2410,TA2770,NA2800,NA2830,NA2920,NA2930,NA2950,NA2960,NA2970,NA3070,NA3090,NA3120,NA3150,NA3280,NA3291,NA3292,NA3300,NA3301,NA3320,NA3370,TA1040,TA1050,TA2750,TA2770,TA2830,TA2840,TA2850,TA2860,TA2870,TA2880,VI-SOP-PROD-137,Masterlist SPS CHS 2 Layer DIG.xlsx
21,NA1830,NA2180,NA2630,NA2680,NA2740,NA2750,NA3000,NA3030,NA3040,TA1830,SOP/PROD/HOSE/24/10/046,Masterlist SPS CHS 2 Layer DIG.xlsx
22,NA1830,NA2180,NA2630,NA2680,NA2740,NA2750,NA3000,NA3030,NA3040,TA1830,VI-SOP-PROD-385,Masterlist SPS CHS 2 Layer DIG.xlsx
23,NA1830,NA2180,NA2630,NA2680,NA2740,NA2750,NA3000,NA3030,NA3040,TA1830,VI-SOP-PROD-385,Masterlist SPS CHS 2 Layer DIG.xlsx
24,NA1840,NA2720,NA3330,VI-SOP-PROD-459,Masterlist SPS CHS 2 Layer DIG.xlsx
25,NA1840,NA2720,NA3330,VI-SOP-PROD-459,Masterlist SPS CHS 2 Layer DIG.xlsx
26,NA2900,NA1580,NA1610,SOP/PROD/HOSE/24/10/052,Masterlist SPS CHS 2 Layer DIG.xlsx
27,NA2900,NA1580,NA1610,-,Masterlist SPS CHS 2 Layer DIG.xlsx
28,NA3080,NA3110,SOP/PROD,Masterlist SPS CHS 2 Layer DIG.xlsx
29,NA3080,NA3110,SOP/PROD,Masterlist SPS CHS 2 Layer DIG.xlsx
30,PM1270,PM1230,PM1280,,Masterlist SPS CHS 2 Layer DIG.xlsx
31,TA1340,TA1350,TA1420,TA1450,TA2633,TA2634,TA2640,TA2650,TA2660,SOP/PROD/HOSE/24/10/040,Masterlist SPS CHS 2 Layer DIG.xlsx
32,TA1340,TA1350,TA1420,TA1450,TA2633,TA2634,TA2640,TA2650,TA2660,VI-SOP-PROD-132,Masterlist SPS CHS 2 Layer DIG.xlsx
33,TA1340,TA1350,TA1420,TA1450,TA2633,TA2634,TA2640,TA2650,TA2660,VI-SOP-PROD-132,Masterlist SPS CHS 2 Layer DIG.xlsx
34,TA1340,TA1350,TA1420,TA1450,TA2633,TA2634,TA2640,TA2650,TA2660,VI-SOP-PROD-132,Masterlist SPS CHS 2 Layer DIG.xlsx
35,TA1340,TA1350,TA1420,TA1450,TA2633,TA2634,TA2640,TA2650,TA2660,VI-SOP-PROD-132,Masterlist SPS CHS 2 Layer DIG.xlsx
36,TA1340,TA1350,TA1420,TA1450,TA2633,TA2634,TA2640,TA2650,TA2660,VI-SOP-PROD-132,Masterlist SPS CHS 2 Layer DIG.xlsx
37,TA1440,TA1470,TA1430,TA1460,SOP/PROD/HOSE/24/10/038,Masterlist SPS CHS 2 Layer DIG.xlsx
38,TA1440,TA1470,TA1430,TA1460,SOP/PROD/HOSE/24/10/039,Masterlist SPS CHS 2 Layer DIG.xlsx
39,TA1440,TA1470,TA1430,TA1460,VI-SOP-PROD-133,Masterlist SPS CHS 2 Layer DIG.xlsx
40,TA1440,TA1470,TA1430,TA1460,VI-SOP-PROD-133,Masterlist SPS CHS 2 Layer DIG.xlsx
41,TA1440,TA1470,TA1430,TA1460,VI-SOP-PROD-133,Masterlist SPS CHS 2 Layer DIG.xlsx
42,TA1440,TA1470,TA1430,TA1460,VI-SOP-PROD-133,Masterlist SPS CHS 2 Layer DIG.xlsx
43,TA1680,TA1690,SOP/PROD/HOSE/24/10/051,Masterlist SPS CHS 2 Layer DIG.xlsx
44,TA1680,TA1690,VI-SOP-PROD-459,Masterlist SPS CHS 2 Layer DIG.xlsx
45,TA1680,TA1690,VI-SOP-PROD-459,Masterlist SPS CHS 2 Layer DIG.xlsx
46,TA1680,TA1690,VI-SOP-PROD-459,Masterlist SPS CHS 2 Layer DIG.xlsx
47,TA1680,TA1690,VI-SOP-PROD-459,Masterlist SPS CHS 2 Layer DIG.xlsx
48,TA1771,TA1772,SOP/PROD/HOSE/24/10/049,Masterlist SPS CHS 2 Layer DIG.xlsx
49,TA1771,TA1772,VI-SOP-PROD-460,Masterlist SPS CHS 2 Layer DIG.xlsx
50,TA1773,TA1774,TA1890,TA2631,TA2632,TA2670,TA2680,TA2690,TA2700,TA2711,TA2712,SOP/PROD/HOSE/24/10/047,Masterlist SPS CHS 2 Layer DIG.xlsx
51,TA1773,TA1774,TA1890,TA2631,TA2632,TA2670,TA2680,TA2690,TA2700,TA2711,TA2712,VI-SOP-PROD-131,Masterlist SPS CHS 2 Layer DIG.xlsx
52,TA1773,TA1774,TA1890,TA2631,TA2632,TA2670,TA2680,TA2690,TA2700,TA2711,TA2712,VI-SOP-PROD-131,Masterlist SPS CHS 2 Layer DIG.xlsx
53,TA1773,TA1774,TA1890,TA2631,TA2632,TA2670,TA2680,TA2690,TA2700,TA2711,TA2712,VI-SOP-PROD-131,Masterlist SPS CHS 2 Layer DIG.xlsx
54,TA1773,TA1774,TA1890,TA2631,TA2632,TA2670,TA2680,TA2690,TA2700,TA2711,TA2712,VI-SOP-PROD-131,Masterlist SPS CHS 2 Layer DIG.xlsx
55,TA1780,TA2120,SOP/PROD/HOSE/24/10/043,Masterlist SPS CHS 2 Layer DIG.xlsx
56,TA1780,TA2120,VI-SOP-PROD-461,Masterlist SPS CHS 2 Layer DIG.xlsx
57,TA1780,TA2120,VI-SOP-PROD-461,Masterlist SPS CHS 2 Layer DIG.xlsx
